;datatrimestre;valorPix;valorTED;valorTEC;valorCheque;valorBoleto;valorDOC;valorCartaoCredito;valorCartaoDebito;valorCartaoPrePago;valorTransIntrabancaria;valorConvenios;valorDebitoDireto;valorSaques;quantidadePix;quantidadeTED;quantidadeTEC;quantidadeCheque;quantidadeBoleto;quantidadeDOC;quantidadeCartaoCredito;quantidadeCartaoDebito;quantidadeCartaoPrePago;quantidadeTransIntrabancaria;quantidadeConvenios;quantidadeDebitoDireto;quantidadeSaques
0;2024-12-31;7714115370000,0;11647265670000,0;0,0;187486450000,0;2530070720000,0;0,0;728621990000,0;259929790000,0;85637900000,0;6994592320000,0;1058938030000,0;714937330000,0;530634040000,0;17960843400,0;211017500,0;0,0;41511300,0;1459164000,0;0,0;5351537700,0;4282401300,0;3339927200,0;492218600,0;633961000,0;3795103000,0;658974400,0
1;2024-09-30;6975429470000,0;11180217680000,0;0,0;194330600000,0;2445000040000,0;0,0;663288440000,0;241932980000,0;78531940000,0;6721491990000,0;961319370000,0;632328970000,0;526867560000,0;16546427300,0;203394300,0;0,0;44243700,0;1466737400,0;0,0;5042306200,0;4121806100,0;3132433100,0;426403600,0;661918400,0;3832577100,0;664226200,0
2;2024-06-30;6284296050000,0;10662555730000,0;0,0;221553820000,0;2360423790000,0;0,0;631811520000,0;239101560000,0;77389010000,0;6185603980000,0;984002130000,0;589043560000,0;591985250000,0;15356890900,0;203269600,0;0,0;44982000,0;1439100200,0;0,0;4879707200,0;4057958800,0;3046234000,0;328551700,0;679418000,0;3320590500,0;698603700,0
3;2024-03-31;5429305430000,0;9651625560000,0;925260000,0;190457250000,0;2248972680000,0;650800000,0;607470960000,0;235111600000,0;73035610000,0;5394494970000,0;1079005230000,0;573074520000,0;522222340000,0;13575455600,0;203714200,0;447200,0;46468900,0;1422731400,0;662600,0;4723437700,0;3952365200,0;2774237000,0;277240200,0;716794800,0;3238699100,0;683043000,0
4;2023-12-31;5300155000000,0;10090921810000,0;5787890000,0;221424780000,0;2317765950000,0;4684980000,0;630191340000,0;259057920000,0;79592400000,0;5620372940000,0;992622230000,0;713965370000,0;644732040000,0;13045669900,0;226471200,0;2571800,0;52101200,0;1452479500,0;4664800,0;4813848400,0;4238653300,0;2974411000,0;376307800,0;669806400,0;3102557700,0;752440700,0
5;2023-09-30;4469529570000,0;9960251890000,0;4156380000,0;218121880000,0;2296686990000,0;10131890000,0;581902420000,0;240827840000,0;69553220000,0;5431931990000,0;917545310000,0;700423250000,0;622697480000,0;11116947900,0;217717600,0;1765100,0;54410400,0;1487073300,0;12613800,0;4583771700,0;4014361400,0;2677826600,0;318577900,0;705507600,0;2790820000,0;758691600,0
6;2023-06-30;3900377430000,0;10657463130000,0;4770740000,0;228408820000,0;2249059610000,0;11258230000,0;561910940000,0;238172210000,0;63923280000,0;5394057650000,0;928969870000,0;657036350000,0;638613020000,0;9396579000,0;218819100,0;1992700,0;56339400,0;1494218100,0;10328200,0;4434832100,0;3929786500,0;2426618700,0;278256900,0;734712500,0;2556236900,0;778454000,0
7;2023-03-31;3447198280000,0;9919602840000,0;4535170000,0;240686190000,0;2211522990000,0;7467110000,0;535520440000,0;237175130000,0;61169030000,0;5753141910000,0;965364340000,0;638326600000,0;558407690000,0;8116395500,0;228744000,0;1958000,0;57830600,0;1510817500,0;7530900,0;4189059300,0;3835192100,0;2237800800,0;256276900,0;764472600,0;2437254000,0;662875300,0
8;2022-12-31;3342913940000,0;10382121630000,0;5609530000,0;242259610000,0;2259674530000,0;9584630000,0;560765410000,0;264120640000,0;66081980000,0;5510897970000,0;932333890000,0;693550260000,0;625411600000,0;7807165700,0;254289800,0;2531900,0;62606200,0;1522483600,0;9871700,0;4334758400,0;4115443100,0;2303423600,0;288090000,0;735105800,0;1935347600,0;742553400,0
9;2022-09-30;2936413950000,0;10437763160000,0;3735460000,0;267090220000,0;2248416630000,0;17106460000,0;521942270000,0;243632860000,0;55695330000,0;5503514220000,0;897632110000,0;732381580000,0;607773390000,0;6528602100,0;256680100,0;1677800,0;68143000,0;1538367100,0;18047300,0;4151713800,0;3831079000,0;1993806800,0;274848000,0;766676200,0;1965308400,0;725040400,0
